memory_length,nb_attractors,min_attractors,max_attractors,eta,tick
1, 45, 45, 45, 0.15, 0
1, 45, 45, 45, 0.15, 0
1, 45, 45, 45, 0.15, 0
1, 45, 45, 45, 0.15, 0
1, 45, 45, 45, 0.15, 0
1, 45, 45, 45, 0.15, 0
1, 45, 45, 45, 0.15, 0
1, 45, 45, 45, 0.15, 0
1, 45, 45, 45, 0.15, 0
1, 35, 35, 35, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 28, 28, 28, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
1, 41, 41, 41, 0.15, 0
